section,grave_id,row,column,inscription
C,1,1,3,"In Remembrance of JOHN DAWSON HOPKINSON of Binns who died August 3rd 1860 in the 27th Year of his Age.
headed [Book of music - Luther's Hymn interspersed with bugle calls.]"
C,2,2,1,"In Memory of BETTY, the wife of William Firth, of Haworth, who (died) June 13th 1822 in the 45th Year of her Age
ALSO of the above said William Firth, who died March 24th 1830, in the 31st Year of his Age.
ALSO of Christopher Walter his Nephew, who died July 25th 1834, Aged 15 Years.
ALSO of ALBERT, Son of William and Caroline Firth of LEES, who died July 15th 1866 aged 5 weeks."
C,3,2,2,"In Memory of Martha, the Daughter of JOSEPH and SALLY WHITAKER of Sawood who died Augt 22nd 1827, in the 20th Year of her Age.
ALSO of James their Son who died March 8th 1831, in the 17th Year of his Age.
ALSO of the above named Sally Whitaker who died Feby 7th 1842 in the 57th Year of her Age.
Also of the aforenamed JOSEPH WHITAKER who departed this Life April 2nd 1863, in the 78th Year of his Age."
C,4,2,4,"In Memory of JOHN HARDAKER of Height who died Jany 5th 1798 Aged 10 Years
ALSO Judith his Wife who died June 6th 1823 in the 63rd Year of her age.
ALSO of Betty the wife of James Jennings of Bents who died July 1st 1843, in the 61st Year of her Age.
ALSO of Sarah Ann, Daughter of John and Harriot Bland, who died Decr 7th 1846, in the 1st Year of her Age."
C,5,2,6,"Hobkinson
(Here) lyeth (the B)ody of the Son  obkinson (sic) departed this life the 17th of March 1730
Also John Woo(d) died April 19th 1741
Abraham Wood buried here 1755
Ann Wood buried here 1761
R H 1781"
C,6,3,5,"In Memory of Susey, Daughter of George & Sally Holmes of Thornton who died July 2nd 1846 aged 16 Years."
C,7,4,1,"In Memory of John the Son of Robert and Grace Pighells of Leeming who died November 17th 1799 Aged 17 Years
In this vain would short was my stay Health strength and beauty fled away
Death doth not always warning give Therefore be careful how you live.
ALSO Thomas their Son who died September 11th 1812 in the 28th Year of his Age
ALSO Grace Wife of the above Robert Pighells died Feb 7th 1826 Aged 75 Years.
ALSO of Mary Jennings of Mytholmes who died Aug 7th 1851 in the 86th Year of her Age.
ALSO of Mary, Daughter of Squire and Ann Thornton of Mytholmes who died July 9th 1854 aged 27 Years
ALSO of the above named Squire Thornton who died May 22nd 1866 in the 69th Year of his Age."
C,8,4,7,"IN MEMORY of John Sutcliffe of Bents who died May 9th 1828 in the 44th Year of his age.
Abraham Sutcliffe Stairs Owner."
C,9,4,9,"Here lieth the Body of Sarah the Wife of Thomas Rushworth of Stairs who departed this Life the 15th Day of June 1761 In the 45th Year of her Age.
Also Martha Daughter of Thomas Rushworth of Stairs who died Oct. 25th 1798 Aged 34
Also Thomas Rushworth Husband of the above said Sarah who died Oct. 21st 1799 In the 78th Year of his Age."
C,10,5,8,"SACRED to the Memory of Mary, wife of John Appleyard of Scholes, who died Novr 7th 1840, in the 43rd Year of her Age.
An affectionate Mother, and a kind friend
ALSO of the above named JOHN APPLEYARD who died Septr 1st 1860, in the 70th Year of his Age.
This is a faithful saying and worthy of all acceptation that Christ Jesus came into the world to save sinners of whom I am chief
ALSO of MARY JANE, Daughter of Joseph and Mary Appleyard, & Granddaughter of the above who died Feby 9th 1862, in the 1st Year of her age."
